contact_id,patient_id,name,relationship,phone,address,is_primary
EC000001,P000001,Robert Johnson,Spouse,977.299.3804,03760 Vargas Radial,Yes
EC000002,P000002,Nancy Larson,Other,905.379.7310x802,78161 Calderon River Suite 931,Yes
EC000003,P000003,Tiffany Martin,Grandparent,(555)478-4190,76483 Cameron Trail,Yes
EC000004,P000004,Benjamin Robinson,Grandchild,001-688-369-1866x070,2416 Harmon Shore Suite 536,Yes
EC000005,P000006,Katie Guerrero,Grandparent,+1-505-234-0534x7492,79934 Sullivan Cliffs,Yes
EC000006,P000006,Leah Johnson,Grandparent,326.974.5339x6259,271 Lopez Dam,No
EC000007,P000007,Shaun Jones,Spouse,522.563.8617x1681,7382 Sanchez Mountains,Yes
EC000008,P000007,Brian Vasquez,Sibling,905-524-5035,7382 Sanchez Mountains,No
EC000009,P000008,Michael Ramirez,Spouse,(611)635-7961,78108 Tanya Terrace,Yes
EC000010,P000009,Antonio Ellis,Grandparent,001-479-984-3152,07465 Pineda Lodge,Yes
EC000011,P000011,Ronald Smith,Partner,+1-200-668-6523x2042,841 Joseph Coves,Yes
EC000012,P000012,Stephen Marshall,Sibling,5428848501,12805 Russell Canyon,Yes
EC000013,P000013,Timothy Doyle,Spouse,750-489-3200x8587,3421 Brennan Walks Suite 337,Yes
EC000014,P000014,Keith Moore,Child,+1-244-964-3102x912,655 Obrien Pass,Yes
EC000015,P000015,Glenn Stone,Sibling,+1-957-517-8620x8927,329 Stone Park Suite 268,Yes
EC000016,P000017,Barbara Bell,Other,377-854-7503,7366 Barber Skyway,Yes
EC000017,P000017,Nancy Castro MD,Partner,2036908197,5954 Woodard Points Suite 037,No
EC000018,P000018,Thomas Berry,Grandparent,8412808482,66587 Brown Village,Yes
EC000019,P000020,Dominique Moore,Friend,+1-773-884-3221,3976 Courtney Crossroad,Yes
EC000020,P000020,Katie Cooper,Friend,574-732-9955x7553,5413 Wendy Mountains,No
EC000021,P000021,Denise King,Friend,(397)492-0222,703 Cynthia Run,Yes
EC000022,P000021,Kelly Beltran,Grandparent,+1-270-626-0052x061,49190 Patel Shore,No
EC000023,P000022,Alexander Lara,Sibling,001-597-877-5323x86377,17857 Michele Passage Apt. 436,Yes
EC000024,P000024,Jessica Figueroa,Friend,(338)208-6919,34352 Smith Place Apt. 400,Yes
EC000025,P000027,Kimberly Blankenship,Other,455-527-5370x0410,8877 Carly Meadows Suite 940,Yes
EC000026,P000028,James Moore,Other,(541)316-9277x0389,6746 Shawn Island,Yes
EC000027,P000029,Tiffany Keller,Sibling,(449)503-6571x68897,010 Amy Knoll,Yes
EC000028,P000030,James Washington,Other,948-670-3817x174,6584 Justin Hills,Yes
EC000029,P000032,Carolyn Mitchell,Spouse,5799232853,2305 Morales Union,Yes
EC000030,P000033,Gwendolyn Thomas,Spouse,001-472-366-9318x585,53956 Bianca Springs Suite 422,Yes
EC000031,P000034,Jonathan Smith,Spouse,001-649-609-3426x9263,743 Robinson Field,Yes
EC000032,P000035,Daniel King,Partner,5549589601,47451 Mccarty Divide Apt. 685,Yes
EC000033,P000035,Shawn Arnold DVM,Grandparent,966-280-7345x71071,47451 Mccarty Divide Apt. 685,No
EC000034,P000036,Guy Mathis,Child,(864)672-2314,612 Sophia Hollow Suite 113,Yes
EC000035,P000037,Amber Smith,Grandparent,665.579.6675x813,477 Francis Fort Suite 966,Yes
EC000036,P000038,Jill Valenzuela,Sibling,(712)204-5977x67404,02053 Smith Greens,Yes
EC000037,P000039,Tony Day,Partner,(751)491-1556,0076 Parks Overpass Suite 115,Yes
EC000038,P000040,Brenda Barnett,Grandchild,936-924-8046,7365 Ross Stream,Yes
