schedule_id,staff_id,staff_name,role,shift_date,shift_start,shift_end,assigned_unit,assigned_area
SCH00000001,STF1635,Nurse Smith,Respiratory Therapist,2026-01-12,07:00,19:00,ICU,ICU - Zone B
SCH00000002,STF6718,Dr. Smith,CNA,2026-01-12,23:00,07:00,ICU,ICU - Zone C
SCH00000003,STF9153, Williams,Physician,2026-01-12,23:00,07:00,ICU,ICU - Zone A
SCH00000004,STF8449,Dr. Jones,Respiratory Therapist,2026-01-12,15:00,23:00,ICU,ICU - Zone B
SCH00000005,STF2072,Dr. Johnson,PA,2026-01-12,19:00,07:00,ICU,ICU - Zone B
SCH00000006,STF9040,Nurse Smith,Physician,2026-01-12,15:00,23:00,ICU,ICU - Zone A
SCH00000007,STF8871,Dr. Williams,Physical Therapist,2026-01-12,07:00,19:00,ICU,ICU - Zone C
SCH00000008,STF9639, Jones,Physical Therapist,2026-01-12,23:00,07:00,ICU,ICU - Zone C
SCH00000009,STF7458,Nurse Johnson,Respiratory Therapist,2026-01-12,19:00,07:00,ICU,ICU - Zone B
SCH00000010,STF8338,Nurse Brown,Physician,2026-01-12,07:00,15:00,ICU,ICU - Zone C
SCH00000011,STF7177,Nurse Smith,LPN,2026-01-12,15:00,23:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000012,STF6267,Nurse Williams,Respiratory Therapist,2026-01-12,15:00,23:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000013,STF9152,Dr. Johnson,Resident,2026-01-12,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000014,STF2461, Jones,Resident,2026-01-12,23:00,07:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000015,STF3840,Dr. Smith,PA,2026-01-12,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000016,STF5963, Smith,NP,2026-01-12,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000017,STF8107, Williams,Respiratory Therapist,2026-01-12,23:00,07:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000018,STF1732,Dr. Johnson,Physician,2026-01-12,07:00,19:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000019,STF6247,Dr. Jones,LPN,2026-01-12,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000020,STF1255, Smith,RN,2026-01-12,15:00,23:00,Medical/Surgical,Medical/Surgical - Zone A
SCH00000021,STF5758,Nurse Johnson,RN,2026-01-12,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone C
SCH00000022,STF7388,Dr. Johnson,Physician,2026-01-12,07:00,15:00,Medical/Surgical,Medical/Surgical - Zone B
SCH00000023,STF3321, Williams,Physical Therapist,2026-01-12,19:00,07:00,Medical/Surgical,Medical/Surgical - Zone C
